article_title;birth_date;death_date;death_place;religion;death_cause;honorific_prefix;birth_name;parents;spouse;children;profession;alma_mater;birth_place;summary;wikiurl;relatives;image
R. Soeprapto (pahlawan revolusi);1920-06-20;1965-10-01;Lubang Buaya, Jakarta;;;;;;;;;;Purwokerto, Jawa Tengah;Letnan Jenderal TNI (Anumerta) R.Soeprapto (Hanacaraka: ꦫꦢꦺꦤ꧀‌ꦱꦸꦥꦿꦥ꧀ꦠ) (20 Juni 1920 – 1 Oktober 1965) adalah seorang pahlawan revolusi Indonesia. Ia merupakan salah satu korban dalam G30S/PKI dan dimakamkan di Taman Makam Pahlawan Kalibata, Jakarta;https://id.wikipedia.org/wiki/R._Soeprapto_(pahlawan_revolusi);;Soeprapto.jpg
Sri Adiningsih;1960-12-11;2023-06-17;Yogyakarta, Daerah Istimewa Yogyakarta;;;;;;Kunta Setiaji;;;"University of Illinois
Universitas Gadjah Mada";Surakarta, Jawa Tengah;Prof. Dr. Sri Adiningsih, M.Sc. (11 Desember 1960 – 17 Juni 2023) adalah ekonom dan dosen Fakultas Ekonomi Universitas Gadjah Mada  yang menjabat sebagai anggota Dewan Pertimbangan Presiden sejak 19 Januari 2015 hingga 20 Oktober 2019. Dia pernah ditunjuk sebagai anggota Tim Ahli Panitia Ad hoc MPR pada tahun 2001 dan kemudian terpilih menjabat Sekretaris Komisi Konstitusi. Sri Adiningsih adalah alumnus Fakultas Ekonomi Universitas Gadjah Mada Yogyakarta.;https://id.wikipedia.org/wiki/Sri_Adiningsih;;Sri Adiningsih speaking at the 9th International Indonesia Forum 03.jpg300px
Hayono Isman;1955-04-25;;;Islam;;;;;Poppy Puspitasari;"Baroto Ario Isman
Handara Putri Isman
Mandira Isman";;Sekolah Tinggi Ilmu Pemerintahan Abdi Negara Jakarta;Jakarta, Jawa Barat;H. Hayono Isman, S.I.P. (lahir 25 April 1955) adalah politikus senior dan pengusaha yang pernah menjabat Menteri Pemuda dan Olahraga Republik Indonesia periode 1993–1998, Anggota Dewan Perwakilan Rakyat Republik Indonesia periode 1987–1992 dan 1992–1993 dari Golongan Karya dan periode 2009–2014 dari Partai Demokrat. Ia aktif di sejumlah organisasi kemasyarakatan, partai politik, lembaga eksekutif, maupun legislatif. Pada 1993, di usianya yang masih 37 tahun, ia diangkat menjadi menteri, sehingga menjadikannya sebagai menteri termuda di Kabinet Pembangunan VI.;https://id.wikipedia.org/wiki/Hayono_Isman;;Hayono isman.jpg
Herman Bernhard Leopold Mantiri;1939-09-11;;;;;;;;Ongke Hanna Elia;Julio Timotius Mantiri;;Akademi Militer;Bogor, Jawa Barat;Letjen. TNI (Purn.) Herman Bernhard Leopold Mantiri (lahir 11 September 1939) adalah seorang mantan Kepala Staf Umum ABRI.  Beliau pernah menjabat sebagai Wakil Ketua Umum II LVRI periode 2012 - 2017 dan saat ini adalah Ketua Umum LVRI periode 2022 - 2027.;https://id.wikipedia.org/wiki/Herman_Bernhard_Leopold_Mantiri;;HBL Mantiri, Commander of the Udayana Military Region.jpg
Peter Cosgrove;1947-07-28;;;Katolik;;;;;Lynne, Lady Cosgrove;"Stephen
Philip
David";;Royal Military College, Duntroon;Sydney, New South Wales, Australia;Jenderal Sir Peter John Cosgrove (lahir 28 Juli 1947) adalah seorang purnawirawan perwira tinggi Angkatan Darat Australia dan juga merupakan Gubernur Jenderal Australia saat ini.;https://id.wikipedia.org/wiki/Peter_Cosgrove;;General Peter Cosgrove AC MC (Ret'd) at the Centenary of the Kangaroo March launch.jpg
Kelly Kwalik;1955-01-01;2009-12-16;Indonesia Timika, Papua, Indonesia;Katolik;;;;;;;;;23px Agimuga, Mimika, Papua, Nugini Belanda;Kelly Kwalik (lahir di Agimuga, Mimika, Papua, Nugini Belanda, 1955 - meninggal di Timika, Papua, Indonesia, 16 Desember 2009) adalah seorang pemimpin separatis senior dan komandan dari sayap militer Organisasi Papua Merdeka (OPM), sebuah organisasi separatis yang berbasis di Provinsi Papua di Indonesia.;https://id.wikipedia.org/wiki/Kelly_Kwalik;;
Purnomosidi Hadjisarosa;1934-09-07;;;;;;;;;;;;Karanganyar, Kebumen, Jawa Tengah, Indonesia;Purnomosidi Hadjisarosa (lahir 7 September 1934) adalah Menteri Pekerjaan Umum pada Kabinet Pembangunan III. Ia menyelesaikan pendidikan sekolah atasnya di SMA Negeri 1 Surakarta dan pendidikan tingkat persiapan lengkap di Jurusan Mesin Institut Teknologi Bandung pada tahun 1956 dan mendapatkan gelar Insinyur dan Doktor dari Fakultaet fuer Bargbau und Huettenwesen der Bergakademie Clausthal (TU Clausthal) di Jerman pada tahun 1963.;https://id.wikipedia.org/wiki/Purnomosidi_Hadjisarosa;;Purnomosidi Hadisaroso - Ministers of the Third Development Cabinet.jpg
Ahmad Yunus Mokoginta;1921-04-28;1984-01-11;Jakarta;;;;;;Koriyati Mokoginta;;;Akademi Militer Breda;Kotamobagu, Sulawesi Utara;Letnan Jenderal TNI (Purn.) Ahmad Yunus Mokoginta atau biasa juga dikenal sebagai A.Y. Mokoginta (28 April 1921 – 11 Januari 1984) adalah tokoh militer Indonesia yang juga menjadi salah satu penandatangan Petisi 50. Ia berasal dari keluarga aristokrat di Bolaang Mongondow.;https://id.wikipedia.org/wiki/Ahmad_Yunus_Mokoginta;;Danpuspomad Ahmad Yunus Mokoginta.jpg
Kunto Arief Wibowo;1971-03-15;;;;;;;;Indira Paramita, SP.;"drh. Kania Rifa Iradatya
Letda Inf. Ezhar Safa Syailendra";Tentara;"Akademi Militer
Universitas Terbuka";Kromengan, Malang, Jawa Timur;Mayor Jenderal TNI Kunto Arief Wibowo, S.IP. (lahir 15 Maret 1971) adalah seorang perwira tinggi TNI-AD yang menjabat sebagai  Wakil Komandan Kodiklat TNI-AD.Kunto, merupakan lulusan Akademi Militer (1992) ini berasal dari kecabangan Infanteri (Raider). Sebelumnya, jenderal bintang dua ini menduduki jabatan sebagai Panglima Komando Daerah Militer III/Siliwangi. Beliau juga merupakan putra dari mantan Panglima ABRI dan sekaligus Wakil Presiden Indonesia ke-6 Jenderal TNI (Purn.) Try Sutrisno.;https://id.wikipedia.org/wiki/Kunto_Arief_Wibowo;"Ryamizard Ryacudu
Nora Tristyana
Irjen Pol. Firman Santyabudi
Letda Inf. Muhammad Fakhri S.T.Han";Kunto.jpg
Adi Putra Darmawan Tahir;1953-05-18;;;Islam;;;;;Rahmi Lestari;;;;Bandung, Jawa Barat;Adi Putra Darmawan Tahir (lahir 18 Mei 1953) adalah seorang pengusaha dan politisi Indonesia.Ia merupakan anggota Dewan Perwakilan Rakyat (DPR RI) untuk masa jabatan 2009-2014 dari Fraksi Partai Golkar untuk Daerah Pemilihan (Dapil) Nusa Tenggara Barat (NTB), dan ditempatkan di Komisi VI yang mengurusi bidang perdagangan, perindustrian, investasi, koperasi, UKM, BUMN, dan Standardisasi Nasional. Ia juga pernah menjadi anggota MPR RI untuk masa jabatan 1999-2004.Adi Putra Darmawan Tahir terpilih menjadi Ketua Umum Kadin (Kamar Dagang Industri) Indonesia selama masa pergantian antar waktu (PAW) pada tahun 2010 menggantikan MS. Hidayat yang fokus menjalankan tugasnya sebagai Menteri Perindustrian.;https://id.wikipedia.org/wiki/Adi_Putra_Darmawan_Tahir;;File:Ketua Pergantian Antar Waktu Kadin Adi Putra Darmawan Tahir.jpg
Soetardjo Soerjogoeritno;1934-04-30;2010-08-07;Jakarta Selatan, Indonesia;;;;;;Sri Adiati;;Guru;Universitas Gadjah Mada;Klaten, Hindia Belanda;Soetardjo Soerjogoeritno (30 April 1934 – 7 Agustus 2010) adalah Wakil Ketua Dewan Perwakilan Rakyat Republik Indonesia (DPR RI) periode 2004–2009 dan 1999–2004 Bidang Bidang Politik dan Keamanan. Ia pernah menjadi calon Anggota DPD pada Pemilihan umum 2009 tetapi tidak lolos.;https://id.wikipedia.org/wiki/Soetardjo_Soerjogoeritno;;Soetardjo Soerjogoeritno, Buku Kenangan Anggota Dewan Perwakilan Rakyat Republik Indonesia 1999-2004, pIII.jpg
Notohamiprodjo;1905-04-12;1976-07-21;;;;;;;;;;;Kota Yogyakarta;RM Notohamiprodjo (12 April 1905 – 21 Juli 1976) adalah Menteri Keuangan Indonesia masa Demokrasi Terpimpin. Notohamiprodjo lebih dikenal sebagai tokoh Asuransi Jiwa Bersama (AJB) Bumiputera 1912. Tahun 1952, Bumiputera berada di bawah kendali kepemimpinannya sampai Kantor Pusat Bumiputera berpindah dari Yogyakarta ke Jakarta pada tahun 1958. Tokoh AJB Bumiputera ini dipercaya untuk membantu perbaikan perekonomian di Indonesia.;https://id.wikipedia.org/wiki/Notohamiprodjo;;Murobikandi Notohamiprodjo.jpg
Boediardjo;1921-11-16;1997-03-15;Jakarta, Indonesia;Islam;;;;;Sri Redjeki;;;;Magelang, Jawa Tengah, Hindia Belanda;Marsekal Madya TNI (Purn.) Boediardjo (16 November 1921 – 15 Maret 1997) adalah Menteri Penerangan pada tahun 1968–1973 menggantikan B. M. Diah. Ia juga pernah menjabat sebagai Duta Besar Indonesia untuk Kamboja dan Spanyol. Ia memiliki empat anak: Dandung Bardo Kahono, Ennie Angkawati Boediardjo, Grombyang Setyaning Boediardjo, dan Iwan Wiwoho.;https://id.wikipedia.org/wiki/Boediardjo;;Het koninklijk paar tijdens een dienst in de Willemskerk in Jakarta, Bestanddeelnr 254-9022 (Boediardjo).jpg
Feisal Tanjung;1939-06-17;2013-02-18;Jakarta, Indonesia;Islam;;;;;dr. Masrowida Lubis;"Astrid Tanjung
Yasser Tanjung
Yusuf Tanjung";;Akademi Militer;Tarutung, Silindung, Keresidenan Tapanuli, Hindia Belanda;"Jenderal TNI (Purn.) Feisal Edno Tanjung (17 Juni 1939 – 18 Februari 2013), adalah seorang tokoh militer Indonesia. Feisal adalah alumni dari Akademi Militer Angkatan 1961. Seorang perwira yang memiliki pengalaman di bidang tempur, teritorial dan pendidikan. Awal kariernya banyak dihabiskan di pasukan khusus; Grup Sandhi Yudha RPKAD (sekarang Kopassus) dan kemudian di Brigade Infanteri Lintas Udara 17 Kostrad.";https://id.wikipedia.org/wiki/Feisal_Tanjung;;Feisal Tanjung as Commander of the Armed Forces.jpg
Moeljadi;1924-09-21;1972-07-29;Uni Soviet Moskwa;Islam;;;;;;Laksamana Muda TNI (Purn.) Adi Prabawa;Tentara;;Baturetno, Wonogiri, Hindia Belanda;Laksamana TNI (Purn.) R. Moeljadi (21 September 1924 – 29 Juli 1972) adalah tokoh militer Indonesia dan pernah menjabat sebagai Kepala Staf TNI Angkatan Laut pada periode 25 Februari 1966 - 16 Desember 1969. Pada masa jabatannya nama jabatan Kepala Staf Angkatan Laut disebut sebagai Menteri/Panglima Angkatan Laut yang termasuk dalam Kabinet Dwikora II dan Kabinet Dwikora III.;https://id.wikipedia.org/wiki/Moeljadi;;Colonel Moeljadi, Jalesveva Jayamahe, p237.jpg
Soenandar Prijosoedarmo;1924-02-17;1984-12-27;;;;;Soenandar Prijosoedarmo;;;;;;Sidoarjo, Hindia Belanda;Letnan Jenderal TNI (Purn.) Soenandar Prijosoedarmo (17 Februari 1924 – 27 Desember 1984) adalah Gubernur Jawa Timur periode 1978-1983. Selain itu, ia juga pernah menjabat sebagai Gubernur Sulawesi Utara periode 1965-1966. Ia merupakan pensiunan ABRI. Ia diangkat menjadi Gubernur Jawa Timur menggantikan Mohammad Noer. Setelah menjabat sebagai Gubernur Jawa Timur, ia kemudian diangkat sebagai anggota DPR dan menjadi Wakil Ketua DPR/MPR.;https://id.wikipedia.org/wiki/Soenandar_Prijosoedarmo;;Soenandar Prijosoedarmo.jpg
Oetojo Oesman;1935-06-03;;;Islam;;;;;;Dewi Asmara;Menteri;Universitas Indonesia;Batavia, Hindia Belanda;Oetojo Oesman (lahir 3 Juni 1935) adalah Menteri Kehakiman Indonesia Indonesia pada tahun 1993-1998. Ia diangkat menjadi Menteri Kehakiman Indonesia menggantikan Ismail Saleh. Ketika menjadi Menteri Kehakiman, terjadi peristiwa yang memalukan yaitu kaburnya Eddy Tansil dari Lembaga Pemasyarakatan Cipinang. Saat ini dirinya menjabat sebagai Ketua Dewan Kehormatan SOKSI (Sentral Organisasi Karyawan Swadiri Indonesia).Terkait kasus yang menimpa Setya Novanto, dirinya menganggap hal tersebut adalah hal yang biasa. Hal ini dikarenakan metode tersebut untuk membuktikan apakah benar hukum acara pidananya.;https://id.wikipedia.org/wiki/Oetojo_Oesman;;Sixth Development Cabinet Poster (Oetojo Oesman).jpg
Eddy Rumpoko;1960-08-08;2023-11-30;Kota Semarang, Jawa Tengah, Indonesia;;;;;;Dewanti Rumpoko;;;;Manado, Sulawesi Utara-Tengah, Indonesia;H. Eddy Rumpoko (8 Agustus 1960 – 30 November 2023) adalah politikus Indonesia yang menjabat Wali Kota Batu pada tahun 2007 hingga 2017. Pada periode 2007–2012, ia didampingi Budiono. Pada tahun 2012 ia maju kembali sebagai wali kota dan berpasangan dengan Punjul Santoso. Pasangan Eddy-Punjul berhasil memenangkan pilkada Kota Batu 2012 dengan perolehan sebesar 46.724 suara (44,7%). Eddy Rumpoko dilantik menjadi wali kota untuk periode kedua pada tanggal 26 Desember 2012.;https://id.wikipedia.org/wiki/Eddy_Rumpoko;;Wali Kota Batu Eddy Rumpoko 2011.jpg
Nyak Adam Kamil;1916-08-16;1980-02-11;Indonesia;;;;;;;;;;Bakongan;Prof. K.H. Nyak Adam Kamil (16 Agustus 1916 – 11 Februari 1980) adalah salah satu Ulama Besar, Politisi, Ilmuwan Ekonomi, dan Tokoh Militer Indonesia. Dan juga pernah menjabat Gubernur Aceh periode 1964–1966 menggantikan Ali Hasjmy.;https://id.wikipedia.org/wiki/Nyak_Adam_Kamil;;Bridjen Nyak Adam Kamil, Gubernur KDH Istimewa Aceh.jpg
Oemar Seno Adji;1915-12-05;1984-12-05;;;;;;;;Indriyanto Seno Adji;;Universitas Gadjah Mada;Surakarta, Hindia Belanda;Oemar Seno Adji, S.H. (05 Desember 1915 – 05 Desember 1984) adalah mantan Ketua Mahkamah Agung RI periode 1974-1982. Alumni dari Universitas Gadjah Mada ini juga pernah menjabat sebagai Menteri Kehakiman periode 1966-1974. Ia memulai karier sebagai pegawai departemen kehakiman dan sempat menjadi jaksa agung muda.;https://id.wikipedia.org/wiki/Oemar_Seno_Adji;;Oemar_Seno_Adji.png
Aida Zulaika Nasution;1948-04-01;;;;;;Siti Aida Zulaikha;;Ismeth Abdullah;;;;Banda Aceh, Aceh;Hj. Aida Zulaika Nasution, S.E., M.M. (lahir 1 April 1948) adalah Anggota DPD RI sejak 1 Oktober 2004 hingga 1 Oktober 2014. Aida merupakan istri mantan Gubernur Kepulauan Riau Ismeth Abdullah. Ia merupakan putri dari Sutan Mohammad Amin Nasution, gubernur pertama Sumatra Utara dan Riau.;https://id.wikipedia.org/wiki/Aida_Zulaika_Nasution;;
Latief Hendraningrat;1911-02-15;1983-03-14;Jakarta, Indonesia;;;;;;Sophia;;;PETA;Batavia, Hindia Belanda;Brigadir Jenderal TNI (Purn. Raden Mas Abdul Latief Hendraningrat  (15 Februari 1911 – 14 Maret 1983) lahir dari pasangan Raden Mas Mochamad Said Hendraningrat dan Raden Ajeng Haerani. Ayah Latief adalah seorang demang atau wedana di wilayah Jatinegara yang berdarah ningrat Jawa.Latief merupakan seorang prajurit PETA berpangkat Sudanco (komandan Kompi) dan juga pengerek bendera Sang Saka Merah Putih didampingi oleh Soehoed Sastro Koesoemo, seorang pemuda dari Barisan Pelopor, pada tanggal 17 Agustus 1945 di Jalan Pegangsaan Timur 56, Jakarta Pusat.;https://id.wikipedia.org/wiki/Latief_Hendraningrat;;Kol Inf Latief Hendraningrat.jpg
Soedjono C. Atmonegoro;1940-01-31;2019-09-06;Indonesia Jakarta;Islam;;;;;;;;;Belanda Madura, Jawa Timur;Soedjono Chanafiah Atmonegoro, S.H. (31 Januari 1940 – 6 September 2019) adalah Jaksa Agung Republik Indonesia pada Kabinet Pembangunan VII. Ia menjabat jaksa agung selama 88 hari, karena diberhentikan oleh BJ Habibie pada 15 Juni 1998 dan digantikan Andi Ghalib yang sebelumnya Kakabinkum ABRI.;https://id.wikipedia.org/wiki/Soedjono_C._Atmonegoro;;Soedjono chanafiah.gif
Mung Parhadimulyo;1925-01-11;2012-12-28;Jakarta, Indonesia;;;;;;;;;;Yogyakarta, Hindia Belanda;"Mayor Jenderal TNI (Purn.) Mung Parhadimulyo (11 Januari 1925 – 28 Desember 2012) adalah seorang purnawirawan TNI-AD Ia pernah menjabat sebagai Komandan RPKAD dengan pangkat Letnan Kolonel, yang pelantikannya berlangsung di Manado pada 3 Agustus 1958. Moeng saat itu langsung terjun ke medan operasi memimpin RTP 1 untuk Merebut Kota Tondano. Dalam masa kepemimpinan itu terjadi perubahan baret prajurit dari warna coklat (seperti baret Artileri) menjadi warna merah seperti yang digunakan sekarang. Pada masanya juga, diciptakan dan digunkanya pakaian pakaian dinas lapangan (PDL) loreng khusus ""darah mengalir"", mengantikan seragam PDL loreng lama yang digunakan pasukan komando Belanda. RPKAD sekarang adalah Komando Pasukan Khusus (Kopassus) TNI-AD. Ia merupakan salah satu Sang Penyelamat Panji Siliwangi.";https://id.wikipedia.org/wiki/Mung_Parhadimulyo;;Danjen Kopassus Mung Parahadimulyo.jpg
Pierre Tendean;1939-02-21;1965-10-01;Jakarta, Lubang Buaya;;Disiksa lalu dibunuh di Lubang Buaya, Jakarta, Indonesia;;;;;;;Akademi Militer;Batavia, Hindia Belanda;Kapten Czi. (Anumerta) Pierre Andries Tendean (21 Februari 1939 – 1 Oktober 1965) adalah seorang perwira militer Indonesia yang menjadi salah satu korban peristiwa Gerakan 30 September pada saat dia bertugas sebagai ajudan Jenderal Besar TNI Abdul Haris Nasution.Tendean dimakamkan di Taman Makam Pahlawan Kalibata dan ditetapkan sebagai Pahlawan Revolusi Indonesia pada tanggal 5 Oktober 1965.;https://id.wikipedia.org/wiki/Pierre_Tendean;;Tendean.jpg
Lukita Dinarsyah Tuwo;1961-09-25;;;Islam;;;;;Anita Kentjanawati;"Arimbi Putri Rininta
Alika Dibyanta Viarti Tuwo";Birokrat;Institut Teknologi Bandung;Bandung, Jawa Barat;Dr. Ir. Lukita Dinarsyah Tuwo, M.A. (lahir 25 September 1961) adalah seorang birokrat profesional Indonesia. Ia pernah menjabat sebagai Kepala Badan Pengusahaan (BP) Batam sejak 19 Oktober 2017 hingga Januari 2019. Ia digantikan oleh Edy Putra Irawady yang dilantik pada 7 Januari 2019 yang diberi tugas untuk membuat proses dan persiapan penyerahan dan penggabungan jabatan Wali Kota Batam dengan Kepala BP Batam.Di masa pemerintahan Presiden Jokowi, Menteri Koordinator Bidang Perekonomian, Sofyan Djalil membawanya dari Bappenas ke Kemenko Perekonomian dan dilantik sebagai Sekretaris Menko Perekonomian pada 31 Desember 2017. Saat Sofyan diganti Darmin Nasution, posisi Lukita tak bergeser.Birokrat yang meniti karier selama 23 tahun di Bappenas ini sebelumnya juga pernah menduduki jabatan sebagai Wakil Menteri Perencanaan Pembangunan Nasional (Wamen PPN)/Wakil Kepala Badan Perencanaan Pembangunan Nasional (Waka Bappenas) dalam Kabinet Indonesia Bersatu II. Ia mendampingi Prof. Dr. Armida Salsiah Alisjahbana, S.E., M.A. yang ditunjuk Presiden Susilo Bambang Yudhoyono sebagai Menteri PPN/Kepala Bappenas.;https://id.wikipedia.org/wiki/Lukita_Dinarsyah_Tuwo;;Wakil Menteri PPN Lukita Dinarsyah Tuwo.jpg
Kemal Idris;1923-02-10;2010-07-28;Jakarta;;;;;;Herwinoer Bandriani Singgih;"Ferry Idris
Ade Idris
Indra Idris";;;Holland Singaraja, Bali, Hindia Belanda;Letjen TNI (Purn.) Ahmad Kemal Idris (10 Februari 1923 – 28 Juli 2010) adalah seorang tokoh militer Indonesia. Ia menjabat sebagai Pangkostrad pada tahun 1967. Kemal juga dikenal sebagai salah seorang penandatangan Petisi 50. dan perwira yang mengarahkan moncong meriam ke arah Istana Negara dalam peristiwa 17 Oktober 1952. Saat itu Kemal berpangkat Mayor dan menjabat sebagai Komandan Resimen ke-7 Divisi Siliwangi, atas perintah KSAD Kolonel Abdul Haris Nasution.;https://id.wikipedia.org/wiki/Kemal_Idris;;
Lukman Hakim (birokrat);1914-06-06;1966-08-20;Bonn, Jerman Barat;;;;;;;;;;Tuban, Hindia Belanda;Lukman Hakim (6 Juni 1914 – 20 Agustus 1966) merupakan Menteri Keuangan Republik Indonesia pada era Soekarno. Sebelum menjalani karier, Lukman Hakim menempuh pendidikan AMS A di Yogyakarta, Sarjana di Sekolah Tinggi Hukum (Rechtschogeschool) di Jakarta yang diselesaikannya tahun 1941.;https://id.wikipedia.org/wiki/Lukman_Hakim_(birokrat);;Lukman Hakim Menkeu.jpg
Sayuti Melik;1908-11-25;1989-02-27;Jakarta, Indonesia;;;;Mohamad Ibnu Sayuti;"Partiprawiro
Sumilah";S.K. Trimurti;;;;Sleman, Yogyakarta, Hindia Belanda;Mohamad Ibnu Sayuti atau yang lebih dikenal sebagai Sayuti Melik (25 November 1908 – 27 Februari 1989) adalah seorang Perintis Kemerdekaan Indonesia yang tercatat dalam sejarah Indonesia sebagai Pengetik Naskah Proklamasi Kemerdekaan Republik Indonesia, dan juga mantan anggota Dewan Perwakilan Rakyat Republik Indonesia yang menjabat dari tahun 1971-1982.;https://id.wikipedia.org/wiki/Sayuti_Melik;;Sayuti Melik.jpg
Arie Jeffry Kumaat;1944-05-20;2002-01-13;Jakarta;;;;;;Dr. Maria Josephine Kumaat-Mantik, M.Hum;Henrie August Liddell Kumaat;;;Lansot, Tareran, Minahasa Selatan, Sulawesi Utara;Letnan Jenderal TNI (Purn.) Arie Jeffry Kumaat (20 Mei 1944 – 13 Januari 2002) adalah tokoh militer Indonesia. Ia dimakamkan di Taman Makam Pahlawan Kalibata.;https://id.wikipedia.org/wiki/Arie_Jeffry_Kumaat;;File:Letnan Jenderal Arie Jeffry Kumaat.jpg
Imanuel Ekadianus Blegur;1963-05-25;;;;;;;;Marselina Blegur Ratu;;Politisi;"Universitas Nusa Cendana Kupang
Universitas Indonesia";;Dr. Imanuel Ekadianus Blegur, M.Si yang juga akrab dipanggil Ima Blegur (lahir di Kalabahi, 25 Mei 1963) adalah seorang politisi dari Nusa Tenggara Timur.;https://id.wikipedia.org/wiki/Imanuel_Ekadianus_Blegur;;File:KPU Imanuel Ekadianus Blegur.jpg
Z.A. Maulani;1939-01-06;2005-04-05;Jakarta;Islam;;;;;;;;;Marabahan, Barito Kuala, Kalimantan Selatan, Hindia Belanda;Letnan Jenderal TNI (HOR) (Purn.) Zaini Azhar Maulani (6 Januari 1939 – 5 April 2005) adalah tokoh militer Indonesia dan Kepala Badan Intelijen Negara pada Kabinet Reformasi Pembangunan (September 1998-20 November 1999).;https://id.wikipedia.org/wiki/Z.A._Maulani;;Zaini Azhar Maulani.jpg
Muhammad Dahlan;1909-06-02;1977-02-01;Indonesia;Islam;;;;;;;;;Pasuruan, Keresidenan Pasuruan, Hindia Belanda;K.H. Muhammad Dahlan (2 Juni 1909 – 1 Februari 1977) bertepatan dengan 14 Jumadil Ula 1327 Hijriah, di Desa Mandaranrejo, Panggungrejo, Pasuruan, Jawa Timur. Muhammad Dahlan adalah putera ketiga dari lima bersaudara. Ayah-ibu Dahlan bernama Abdul Hamid dan Chamsiyah. Desa tempat tinggal Dahlan itu terletak di pesisir pantai, kurang lebih berjarak tiga kilometer dari Kota Pasuruan.;https://id.wikipedia.org/wiki/Muhammad_Dahlan;;Muhammad Dahlan.jpg
