title,jenis_infobox,infobox
Soeharto,infobox president,"{{Infobox President
| honorific-prefix    = <!-- Hanya gelar kenegaraan/kehormatan (non-akademis) -->[[Jenderal Besar (Indonesia)|Jenderal Besar]] [[Tentara Nasional Indonesia|TNI]] ([[Purnawirawan|Purn.]]) [[Haji|H.]] [[Muhammad (nama)|M.]]
| name                = Soeharto
| image               = President Suharto, 1993.jpg
| alt                 = Foto resmi Soeharto pada masa jabatan 1993 - 1998
| caption             = Potret resmi, 1993
| office              = Presiden Indonesia<!--- mohon jangan sunting bagian ini, sudah sesuai kaidah bahasa Indonesia --->
| order               = [[Daftar presiden Indonesia|ke-2]]
| state               = <!--- mohon jangan sunting bagian ini, sudah sesuai kaidah bahasa Indonesia --->
| term_start          = 12 Maret 1967
| term_end            = 21 Mei 1998<br /><small>(Pejabat Presiden sampai 27 Maret 1968)</small>
| vicepresident       = {{unbulleted list|[[Hamengkubuwana IX]]|[[Adam Malik]]|[[Umar Wirahadikusumah]]|[[Soedharmono]]|[[Try Sutrisno]]|[[B. J. Habibie]]}}
| predecessor         = [[Soekarno]]
| successor           = [[B. J. Habibie]]
| office2             = Sekretaris Jenderal [[Gerakan Non-Blok]] ke-16
| term_start2         = 7 September 1992
| term_end2           = 20 Oktober 1995
| predecessor2        = [[Dobrica Ćosić]]
| successor2          = [[Ernesto Samper Pizano]]
| office4             = Menteri Pertahanan Keamanan Republik Indonesia
| order4              = ke-13
| term_start4         = 28 Maret 1966
| term_end4           = 28 Maret 1973
| president4          = [[Soekarno]]<br/>''Dirinya sendiri''
| predecessor4        = [[Abdul Haris Nasution]]
| successor4          = [[Maraden Panggabean]]
| office3             = Panglima Angkatan Bersenjata Republik Indonesia
| order3              = ke-5
| term_start3         = 6 Juni 1968
| term_end3           = 28 Maret 1973
| president3          = ''Dirinya sendiri''
| predecessor3        = [[Abdul Haris Nasution]]
| successor3          = [[Maraden Panggabean]]
| office5             = Komando Operasi Pemulihan Keamanan dan Ketertiban{{!}}Panglima Komando Operasi Pemulihan Keamanan dan Ketertiban
| order5              = ke-1 dan ke-5
| term_start5         = 5 Oktober 1965
| term_end5           = 19 November 1969
| predecessor5        = ''Jabatan dibentuk''
| successor5          = [[Maraden Panggabean]]
| term_start6         = 2 Maret 1974
| term_end6           = 5 April 1978
| predecessor6        = [[Soemitro]]
| successor6          = [[Soedomo]]
| office7             = Kepala Staf TNI Angkatan Darat{{!}}Panglima Angkatan Darat
| order7              = ke-7
| term_start7         = 16 Oktober 1965
| term_end7           = 1 Mei 1968
| 1blankname7         = Panglima
| 1namedata7          = [[Abdul Haris Nasution]]
| predecessor7        = [[Pranoto Reksosamodra]]
| successor7          = [[Maraden Panggabean]]
| office8             = Daftar Kepala Badan Intelijen Negara{{!}}Kepala Badan Intelijen Negara
| order8              = ke-3
| term_start8         = 1965
| term_end8           = 22 Agustus 1966
| president8          = [[Soekarno]]
| predecessor8        = [[Soebandrio]]
| successor8          = [[Yoga Sugama]]
| office9             = Ketua Presidium Kabinet Indonesia
| order9              = ke-1
| term_start9         = 25 Juli 1966
| term_end9           = 17 Oktober 1967
| president9          = {{unbulleted list|[[Soekarno]]|''Dirinya sendiri''<br /><small>(sebagai Pejabat Presiden)</small>}}
| predecessor9        = [[Soekarno]]<br /><small>(sebagai Perdana Menteri)</small>
| successor9          = ''Jabatan dihapuskan''
| office10            = Panglima Komando Cadangan Strategis Angkatan Darat{{!}}Panglima Komando Cadangan Strategis Angkatan Darat
| order10             = ke-1
| term_start10        = 6 Maret 1961
| term_end10          = 2 Desember 1965
| predecessor10       = ''Jabatan dibentuk''
| successor10         = [[Umar Wirahadikusumah]]
| birthname           = Soeharto
| birth_date          = {{birth date|1921|6|8}}
| birth_place         = [[Kemusuk, Argomulyo, Sedayu, Bantul|Kemusuk]], [[Kesultanan Ngayogyakarta Hadiningrat]], [[Hindia Belanda]]
| death_date          = {{death date and age|2008|1|27|1921|6|8}}
| death_place         = [[Daerah Khusus Ibukota Jakarta|Jakarta]], Indonesia
| restingplace        = [[Astana Giribangun]], [[Matesih]], [[Kabupaten Karanganyar|Karanganyar]]
| nationality         = [[Indonesia]]
| spouse              = {{marriage|[[Tien Soeharto|Raden Ajeng Siti Hartinah]]|1947|28 April 1996|end=d.}}
| children            = {{unbulleted list|[[Siti Hardijanti Rukmana]] (Tutut)<ref name=""NYT"">{{cite web|title=Suharto Dies at 86; Indonesian Dictator Brought Order and Bloodshed|date=28 Januari 2008|work=The New York Times|last=Berger|first=Marilyn|language=en|url=https://www.nytimes.com/2008/01/28/world/asia/28suharto.html|access-date=2018-12-14|archive-date=2018-12-02|archive-url=https://web.archive.org/web/20181202231503/https://www.nytimes.com/2008/01/28/world/asia/28suharto.html|dead-url=no}}</ref>|[[Sigit Harjojudanto]]|[[Bambang Trihatmodjo]]|[[Siti Hediati Hariyadi]] (Titiek)|[[Hutomo Mandala Putra]] (Tommy)|[[Siti Hutami Endang Adiningsih]] (Mamiek)}}
| father              = Kertosoediro
| mother              = Soekirah
| profession          = {{bulleted list|[[Tentara]]|[[Politikus]]}}
| signature           = Suharto signature.svg
| serviceyears        = 1940–1974
| servicenumber       = 10684<ref>{{cite web|url=https://news.detik.com/berita/d-4728173/sekondan-soeharto-di-pusaran-g30spki/2|title=Sekondan Soeharto di Pusaran G30S/PKI|date=30 September 2019|access-date=16 Juni 2023|website=detikNews|last=Mappapa|first=Pasti Liberti|quote=Latief sendiri mengaku anak buah langsung Soeharto sejak bertugas di Yogyakarta. [[Nomor Registrasi Pokok]] (NRP) keduanya berurutan. ""NRP saya 10685, sedangkan NRP Pak Harto 10684, jadi saya selalu menempel di belakangnya.}}</ref>
| rank                = [[File:23-TNI Army-GA.svg|25px| ]] [[Jenderal Besar]] [[Tentara Nasional Indonesia|TNI]]
| branch              = {{bulleted list|{{flagicon image|Flag of the Netherlands.svg}} [[Koninklijk Nederlandsch-Indische Leger|KNIL]] (1940–1942)|{{flagicon image|Flag of PETA (Pembela Tanah Air).svg}} [[Pembela Tanah Air|PETA]] (1942–1945)|{{flagicon image|Flag of the Indonesian Army.svg}} [[Tentara Nasional Indonesia Angkatan Darat|TNI Angkatan Darat]] (1945–1974)}}
| unit                = [[Infanteri]]
| battles             = [[Revolusi Nasional Indonesia|Perang Kemerdekaan Indonesia]]{{tree list}}
**[[Pertempuran Ambarawa]]
**[[Serangan Umum 1 Maret]]
**[[Pemberontakan Darul Islam]]{{br}}
[[Operasi Trikora]]{{br}}[[Konfrontasi Indonesia-Malaysia]]
| party               = {{parpolicon|Golongan Karya}}
| allegiance          = {{bulleted list|{{flag|Hindia Belanda}} (1940–1942)|{{flag|Kekaisaran Jepang}} (1942–1945)|{{flag|Indonesia}} (1945–1974)}}
| residence           = 
| alma_mater          = {{bulleted list|Schakel Muhammadiyah Yogyakarta (1935–1938)|Sekolah Bintara KNIL di [[Gombong]] (1940)}}
| occupation          = 
}}"
Gempa bumi Flores 1992,infobox earthquake,"{{Infobox earthquake
|title = Gempa bumi dan tsunami Flores 1992
|timestamp = 1992-12-12 05:29:26
|anss-url = usp0005j5a
|isc-event = 257091
|local-date = {{start-date|12 Desember 1992}}
|local-time = 13:29 [[Waktu Indonesia Tengah|WITA (Waktu Indonesia Tengah)]]
| map2 = {{Location map | Indonesia#Indonesia Flores
 | relief = 1
 | label =
 | lat = -8.48
 | long = 121.896
 | mark = Bullseye1.png
 | marksize = 40
 | position = top
 | width = 250
 | float = right
 | caption = }}
|magnitude = 7.8 [[Skala kekuatan Moment|M<sub>w</sub>]]<ref name=USGS>[https://earthquake.usgs.gov/eqcenter/eqarchives/significant/sig_1992.php Significant Earthquakes of the World in 1992] {{webarchive|url=https://web.archive.org/web/20090912001941/http://earthquake.usgs.gov/eqcenter/eqarchives/significant/sig_1992.php |date=2009-09-12 }} [[United States Geological Survey]]</ref>
|depth ={{convert|27,7|km|abbr=on}}
|location ={{coord|8.480|S|121.896|E|display=inline,title}}<ref name=USGS/>
|fault = [[Sesar Naik Busur Belakang Flores]]
|tsunami = 20–35 meter
|intensity = {{MMI|VIII}}<ref name=EXPO-CAT/>
|countries affected = [[Flores]] <br> [[Sulawesi Tenggara]] <br> [[Sulawesi Selatan]]
|casualties = Diperkirakan 2,500 meninggal dan 500 terluka.<ref name=USGS/>
}}"
Hoegeng Iman Santoso,infobox officeholder,"{{Infobox Officeholder
| honorific-prefix    = 
| name                = Hoegeng Iman Santoso
| image               = Police chief Hugeng Iman Santoso, Sekilas Lintas Kepolisian Republik Indonesia, p20.jpg
| imagesize           = 200px
| caption             = 
| order               = ke-5
| office              = Kepala Kepolisian Negara Republik Indonesia{{!}}Kepala Staf Angkatan Kepolisian Republik Indonesia
| president           = [[Soekarno]]<br>[[Soeharto]]
| term_start          = 9 Mei 1968
| term_end            = 2 Oktober 1971
| predecessor         = [[Soetjipto Joedodihardjo]]
| successor           = [[M. Hasan]]
| office2             = Sekretaris Kabinet Indonesia
| order2              = ke-2
| president2          = [[Soeharto]]
| term_start2         = 27 Maret 1966
| term_end2           = 25 Juli 1966
| predecessor2        = [[Djamin Ginting]]
| successor2          = [[Sudharmono]]
| office3             = Direktur Jenderal Imigrasi
| order3              = ke-4
| president3          = [[Soekarno]]
| term_start3         = 19 Januari 1961
| term_end3           = 22 Juni 1965
| predecessor3        = [[Notohatyanto]]
| successor3          = Widikdo Soedikman
| birth_date          = {{birth date|1921|10|14}}
| birth_place         = {{flagicon|Hindia Belanda}} [[Pekalongan]], [[Jawa Tengah]], [[Hindia Belanda]]
| death_date          = {{death date and age|2004|7|14|1921|10|14}}
| death_place         = {{flagicon|Indonesia}} [[Jakarta]], [[Indonesia]]
| party               = 
| spouse              = Meriyati ""Merry"" Roeslani
| children            = 3
| relation            = [[Rudy Wowor]] (menantu)<br>[[Kasino Hadiwibowo|Kasino]](Keponakan)
| residence           = 
| alma_mater          = 
| occupation          = 
| religion            = [[Islam]]
| allegiance          = {{unbulleted list|{{flag|Kekaisaran Jepang}} (1944–1945)|{{flag|Indonesia}} (1945–1971)}}
| branch              = [[Berkas:Insignia of the Indonesian National Police.svg|25px]] [[Kepolisian Republik Indonesia]]
| unit                = 
| rank                = [[Berkas:PDU JEN.png|25px]] [[Jenderal Polisi]]
| serviceyears        = 1944—1971
}}"
Umar Rukman,infobox officeholder,"{{Infobox Officeholder
|honorific_prefix = 
|name             = Umar Rukman
|honorific_suffix = 
|image            = U. Rukman, Irian Barat dari Masa ke Masa, p102-103.jpg
|image_upright    = 
|alt              = 
|caption          = 
|native_name      = 
|native_name_lang = 
|birth_name       = 
|other_name       = 
|nickname         = 
|birth_date       = {{birth date and age|1923|7|2}}
|birth_place      = [[Majalengka]], [[Jawa Barat]], [[Hindia Belanda]]
|death_date       = 
|death_place      = 
|placeofburial    = 
|placeofburial_label = 
|placeofburial_coordinates = <!--{{coord|LAT|LONG|display=inline,title}}-->
 | allegiance      = {{flag|Indonesia}}
 | branch          = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
 | serviceyears    = 1945{{spnd}}1969
 | rank            = [[Berkas:Pdu mayjendtni staf.png|25px]] [[Mayor Jenderal]] [[TNI]]
|servicenumber    = 11292
|unit             = [[Infanteri]]
|commands         = 
|battles          = 
|battles_label    = 
|awards           = 
|memorials        = 
|alma_mater       = 
|spouse           = <!--{{marriage|name|start date|end date}}; add spouse if reliably sourced-->
|children         = 
|relations        = 
|laterwork        = 
|signature        = 
|signature_size   = 
|signature_alt    = 
|website          = <!--{{URL|example.com}}-->
|module           = 
}}"
Indonesia dalam tahun 1987,,
Sugiyono (politikus),infobox officeholder,"{{Infobox Officeholder
|honorific-prefix   = 
|name               = Sugiyono
|image              = 
|imagesize          = 210px
|caption            = 
|office             = Wakil Gubernur Papua
|order              = ke-5
|term_start         = 1983
|term_end           = 1987
|president          = [[Soeharto]]
|governor           = [[Izaac Hindom]]
|predecessor        = [[Izaac Hindom]] 
|successor          = [[Poedjono Pranyoto]]
|office2            = Wali Kota Malang 
|order2             = ke-10
|term_start2        = 19 Juni 1973
|term_end2          = 1983
|president2         = [[Soeharto]]
|governor2          = [[R.P. Mohammad Noer]]<br>[[Soenandar Prijosoedarmo]]
|predecessor2       = Indra Soedarmadji
|successor2         = Soeprapto
|appointed          =
|birth_name         = 
|birth_date         = {{Birth date|1928|8|28|mf=y}}
|birth_place        =  [[Blitar]], [[Jawa Timur]], [[Indonesia]]
|death_date         = {{death date and age|2004|8|15|1928|8|28}}
|death_place        =  [[Malang]], [[Jawa Timur]], [[Indonesia]]
|nationality        = <!-- Hanya untuk warga negara asing -->
|party              = {{Parpolicon|Golkar}} (1988-2004)
|spouse             = Egni Rumambi
|relations          = <!-- Nama keluarga; termasuk hanya jika subjek secara independen sudah terkenal atau sangat relevan; bila ada rujukan/referensi, uraikan pada artikel -->
|children           = <!-- Kolom ini diisi hanya jumlah anak; hanya nama anak yang secara independen sudah terkenal atau telah memiliki artikelnya di Wikipedia; bila ada rujukan/referensi, uraikan pada artikel -->5, termasuk [[Eddy Rumpoko]]
|occupation         = 
|profession         = {{hlist|[[Militer]]|[[Politikus]]}}
|religion           = <!-- Kosongkan bagian ini; kolom terkait Suku, Agama dan Ras telah dinonaktifkan -->
|signature          = 
|website            = 
|footnotes          = 
}}"
Penentuan Pendapat Rakyat,,
Indonesia Terbuka 1998,,
Besi Merah Putih,,
Partai Patriot (Indonesia),infobox partai politik indonesia,"{{Infobox partai politik Indonesia|nama=Partai Patriot
|logo= [[Berkas:partai_patriot_pancasila.jpg|150 px]]
|ketuaumum = [[Yapto Suryosumarno|Japto Soerjosoemarno]]
|sekjen = [[Nugroho Sulistyanto]]
|tahun=[[1 Juni]] [[2001]] (sebagai Partai Patriot Pancasila)
|kantorpusat=[[DKI Jakarta]]
|ideologi=[[Pancasila]]
|parlemen=[[Dewan Perwakilan Rakyat|DPR]]
|pemilu=[[Pemilihan Umum Anggota DPR, DPD, dan DPRD Indonesia 2004|2004]]
|kursidpr= ''Tidak ada''
|situsweb=
}}"
Mega Bintang,,
Ibnu Sutowo,infobox officeholder,"{{Infobox Officeholder
| honorific-prefix    = 
| name                = Ibnu Sutowo
| image               = Ibnu Sutowo - Saatnya Saya Bercerita (Sampul Buku).jpg
| honorific-suffix    = 
| imagesize           = 
| caption             = 
| office              = {{nowrap|[[Menteri Energi dan Sumber Daya Mineral Republik Indonesia|Menteri Minyak, dan Gas Bumi Indonesia]] ke-3}}
| order               = 
| term_start          = 28 Maret 1966
| term_end            = 25 Juli 1966
| president           = [[Soekarno]]
| predecessor         = Armunanto
| successor           = [[Slamet Bratanata]]
| office3             = [[Direktur Utama Pertamina]]
| order3              = 
| term_start3         = 9 Oktober 1968
| term_end3           = 3 Maret 1976
| president3          = 
| predecessor3        = ''Tidak diketahui''
| successor3          = Piet Haryono
| office2             = {{nowrap|[[Komando Daerah Militer II/Sriwijaya|Panglima Komando Daerah Militer Sriwijaya]] ke-4}}
| order2              = 
| term_start2         = 5 September 1955
| term_end2           = 2 Juli 1956
| president2          = 
| predecessor2        = Kolonel Inf [[Bambang Utoyo]]
| successor2          = Letkol Inf [[Barlian]]
| office4             = Ketua Umum Palang Merah Indonesia
| order4              = Ke-9
| term_start4         = 1986
| term_end4           = 1992
| president4          = 
| predecessor4        = Soeyoso Soemodimedjo
| successor4          = [[Siti Hardijanti Rukmana]]
| birth_date          = {{birth date|1914|9|23}}
| birth_place         = [[Yogyakarta]], [[Hindia Belanda]]
| death_date          = {{death date and age|2001|1|12|1914|9|23}}
| death_place         = [[Jakarta]], [[Indonesia]]
| party               = 
| spouse              = Zaleha binti Sjafe'ie
| children            = [[Pontjo Sutowo]] dan 6 lainnya
| residence           = 
| alma_mater          = 
| allegiance          = {{flag|Indonesia}}
| serviceyears        = 1946–1976
| rank                = [[Berkas:Pdu letjendtni staf.png|25px]] [[Letnan Jenderal TNI]]
| branch              = [[Berkas:Insignia of the Indonesian Army.svg|25px]] [[TNI Angkatan Darat]]
| unit                = [[Pusat Kesehatan Angkatan Darat|Kesehatan]] (CKM)
| battles             = 
| awards              = 
| laterwork           = 
| profession          = [[Tentara]]<br />[[Dokter]]
| occupation          = 
| religion            = Islam
}}"
Operasi Jayapura 1976,infobox military conflict,"{{Infobox military conflict
|name = Operasi Jayapura 1976
|partof = [[Konflik Papua]]
|place = Belahan selatan [[Kabupaten Jayapura]], [[Irian Jaya]]
|date = Januari–Februari 1976
|combatant1 = {{flag|Indonesia}}
|combatant2 = {{flagicon|Republik Papua Barat}} [[Republik Papua Barat]]
|strength1 = 10.000{{sfn|Osborne|2001|pp=134-135}}–16.000<ref name=""alr"">{{cite journal |last1=Savage |first1=Peter |title=The Independence Movement in West Irian |journal=[[Australian Left Review]] |date=1980 |volume=73 |pages=33-41 |url=http://ro.uow.edu.au/cgi/viewcontent.cgi?article=2169&context=alr}}</ref>{{rp|35}}<br>2 aircraft
|strength2 = {{circa}} 3.000–5.000{{efn|Usai serangan, para perwakilan Papua Barat di luar negeri menyatakan bahwa terdapat 3.000 sampai 5.000 pejuang yang bertahan.{{sfn|Osborne|2001|pp=134-135}}}}
|casualties1 = 425 tewas<br>800 luka-luka (klaim OPM){{sfn|Osborne|2001|pp=134-135}}{{sfn|Savage|Martin|1977|p=342}}
|casualties2 =1.605 tewas (klaim OPM){{sfn|Osborne|2001|pp=134-135}}{{sfn|Savage|Martin|1977|p=342}}{{efn|Klaim meliputi arga desa dan pendukung yang tewas dalam pertikaian dan serangan udara.}}
}}"
Letusan Gunung Galunggung 1982,,
Pemilihan Presiden Indonesia 1998,infobox election,"{{Infobox Election
| election_name      = Pemilihan Presiden Indonesia 1998
| country            = Indonesia
| type               = presiden
| ongoing            = no
| previous_election  = Pemilihan Presiden Indonesia 1993
| previous_year      = 1993
| next_election      = Pemilihan Presiden Indonesia 1999
| next_year          = 1999
| election_date      = 10 Maret 1998
| votes_for_election = 649 suara anggota [[Majelis Permusyawaratan Rakyat Republik Indonesia]]{{efn|name=MPR|Jumlah anggota MPR adalah hasil dari penjumlahan Anggota DPR, yaitu 500 anggota dan Anggota Fraksi Urusan Daerah sebanyak 149 anggota, yang berlaku dari 1988-1998.}}
| needed_votes       = 433 suara anggota<ref>{{cite book|url=https://www.google.co.id/books/edition/Ketetapan_ketetapan_Majelis_Permusyawara/J3q7AAAAIAAJ?hl=en|last=Penerangan, Republik Indonesia|first=Departemen|title=Ketetapan-ketetapan Majelis Permusyawaratan Rakyat Republik Indonesia, tahun 1973|page=49|accessdate=29 December 2022}}</ref>{{efn|name=Voting|Jumlah untuk menyetujui calon presiden agar menjadi presiden adalah 2/3 anggota dari seluruh anggota}}
| image1             = [[Berkas:President Suharto, 1993.jpg|125x125px]]
| nominee1           = '''[[Soeharto]]'''
| party1             = Golongan Karya
| electoral_vote1    = '''604'''
| percentage1        = '''93.06%'''
<!-- Persentase -->
|result_bar =
{{Composition bar advanced
|boxwidth     = 300
|total        = 100
|party1       = 93.06
|partycolor1  = {{Golongan Karya/meta/color}}
|party2       = 6.94
|partycolor2  = lightgray
|divisionname =Hasil suara
}}
|map_image           = Hasil Pilpres 1998.svg
|map_caption         = Suara Majelis Permusyawaratan Rakyat
{{legend|#FEDF09|Soeharto: 604 kursi}} {{legend|#000000|Abstain: 45 kursi}}
| title              = [[Presiden Indonesia|Presiden]]
| before_election    = [[Soeharto]]
| before_party       = Golongan Karya
| after_election     = [[Soeharto]]
| after_party        = Golongan Karya
}}"
Kategori:Indonesia dalam tahun 1960,,
A.M. Fatwa,infobox officeholder,"{{Infobox Officeholder
|honorific-prefix = [[Kapten]] [[KKO]] ([[Purnawirawan|Purn.]])
|name             = Andi Mappetahang Fatwa
|image            = AM Fatwa.jpg
|imagesize        = 200px
|caption          = A.M. Fatwa sebagai anggota [[Dewan Perwakilan Daerah|DPD RI]]
|office          = Ketua Badan Kehormatan DPD-RI
|order            = ke-3
|term_start      = 9 Oktober 2014
|term_end        = 11 Oktober 2016
|1blankname       = Ketua DPD
|1namedata        = [[Irman Gusman]]
|order1            = 
|office1          = [[Daftar anggota Dewan Perwakilan Daerah 2009–2014|Anggota]] [[DPD-RI]] dari [[DKI Jakarta]]
|term_start1      = 1 Oktober 2009
|term_end1        = 30 September 2014
|office2          = [[Wakil Ketua Majelis Permusyawaratan Rakyat|Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia]]
|alongside2       =[[Aksa Mahmud]] & [[Mooryati Soedibyo]]
|1blankname2       = Ketua MPR
|1namedata2        = [[Hidayat Nur Wahid]]
|term_start2      = 1 Oktober 2004
|term_end2        = 30 September 2009
|office3          = [[Wakil Ketua Dewan Perwakilan Rakyat]]<br/><small>Bidang Kesejahteraan Rakyat</small>
|1blankname3       = Ketua DPR
|1namedata3        = [[Akbar Tanjung]]
|alongside3       = [[Soetardjo Soerjogoeritno]]<br/>[[Khofifah Indar Parawansa]]<br/>[[Muhaimin Iskandar]]
|term_start3      = 1 Oktober 1999
|term_end3        = 30 September 2004
|predecessor3     = 
|successor3       = Zaenal Ma’arif
|birth_date       = {{birth date|1939|2|12}}
|birth_place      =  [[Bone]], [[Sulawesi Selatan]], [[Hindia Belanda]]
|death_date       = {{death date and age|2017|12|14|1939|2|12}}
|death_place      =  [[Daerah Khusus Ibukota Jakarta|Jakarta]], [[Indonesia]]
|death_cause      = [[Kanker hati]]
|resting_place    = [[TMP Kalibata|Taman Makam Pahlawan Nasional Utama Kalibata]]
|nickname         = A. M. Fatwa
|serviceyears     = 1960–1970
|rank             = [[Berkas:Pdu kaptentni staf.png|25px]] [[Kapten]]
|branch           = [[Berkas:Insignia of the Indonesian Navy.svg|25px]] [[Tentara Nasional Indonesia Angkatan Laut|TNI Angkatan Laut]]
|unit             = [[Korps Marinir Indonesia|KKO]] 
|nationality      = {{flag|Indonesia}}
|party            = {{Parpolicon|PAN}}
|spouse           = Ny. Noenoeng Noerdjanah
|children         = 1. Dian Islamiati<br/>2. Diah Sakinah<br/>3. Ikar Fatahillah<br/>4. Rijalulhaq<br/>5. M. Averus
|residence        =  [[Jakarta]], [[Indonesia]]
|alma_mater       = [[Akademi Angkatan Laut]] (1960)
|occupation       = [[Tentara]]<br/>[[Politikus]]
|religion         = [[Islam]]
}}"
